Kanji,Reading,Definition,Sentence,Translation,tags
易しい,やさしい,"easy, simple",この問題はかなり易しいです。,This problem is pretty easy.,340-349 Adjective
留学生,りゅうがくせい,student studying abroad,彼は留学生です。,He's a foreign student.,340-349 Noun
戻る,もどる,"return, turn back",今、会社に戻ります。,I'm going back to the office now.,340-349 Verb
そば,そば,"side, vicinity",そばにいて下さい。,Stay with me.,350-359 Noun
起きる,おきる,"get up, get out of bed",私は毎朝6時に起きます。,I get up at six o'clock every morning.,350-359 Verb
起こる,おこる,happen,町で大事件が起こりました。,There was a major incident in town.,350-359 Verb
起こす,おこす,wake up,明日、6時に起こしてください。,Please wake me up tomorrow at six o'clock.,350-359 Verb
起きる,おきる,"occur, wake up",近所で盗難事件が起きました。,Some burglaries occurred in the neighborhood.,350-359 Verb
寝る,ねる,"sleep, go to sleep",もう寝よう。,Let's go to bed.,350-359 Verb
細い,ほそい,"thin, slender, narrow",彼女は指が細いですね。,Her fingers are thin.,350-359 Adjective
載せる,のせる,"place, put on",皿にケーキを載せました。,I put the cake on the plate.,350-359 Verb
締める,しめる,"tighten, fasten",彼はシートベルトを締めた。,He fastened his seat belt.,350-359 Verb
甘い,あまい,sweet,このイチゴは甘い。,This strawberry is sweet.,350-359 Adjective
こっち,こっち,here,こっちに来て下さい。,Please come here.,360-369 Pronoun
辛い,からい,"spicy, salty",彼は辛いものが好きです。,He likes spicy food.,360-369 Adjective
優しい,やさしい,"gentle, kind",彼はとても優しい人です。,He's a very kind person.,360-369 Adjective
夫,おっと,husband,私の夫はサラリーマンです。,My husband is a company employee.,360-369 Noun
妻,つま,wife,今日は妻の誕生日だ。,It's my wife's birthday today.,360-369 Noun
誰,だれ,"who, whom",誰と会ってみたいですか。,Who would you like to meet one day?,360-369 Noun
愛する,あいする,"love, care for",私は家族を愛しています。,I love my family.,360-369 Verb
笑う,わらう,"laugh, smile",赤ん坊が笑っています。,The baby is laughing.,360-369 Verb
酸っぱい,すっぱい,sour,このぶどうは酸っぱいです。,These grapes are sour.,360-369 Adjective
言葉,ことば,"word, language",この言葉の意味が分かりません。,I don't understand the meaning of this word.,360-369 Noun
よう,よう,"way, like, kind",彼女は眠いようです。,It looks like she's sleepy.,370-379 Noun
呼ぶ,よぶ,"call, name",ウェイターを呼びましょう。,Let's call the waiter.,370-379 Verb
胸,むね,chest,胸に少し痛みがあります。,I have a slight pain in my chest.,370-379 Noun
腰,こし,"hip, lower back",昨日から腰が痛い。,I've had a pain in my lower back since yesterday.,370-379 Noun
背,せ,"height, stature",彼女は背が高い。,She's tall.,370-379 Noun
片仮名,かたかな,katakana,お名前を片仮名で書いてください。,Please write your name in katakana.,370-379 Noun
平仮名,ひらがな,hiragana,私は平仮名を全部読めます。,I can read all the hiragana.,370-379 Noun
悲しい,かなしい,sad,その映画はとても悲しかった。,That movie was very sad.,370-379 Adjective
美しい,うつくしい,beautiful,この絵は美しいです。,This picture is beautiful.,370-379 Adjective
授業,じゅぎょう,"class, lesson",今日は日本語の授業があります。,There's going to be a Japanese class today.,370-379 Verbal Noun
あそこ,あそこ,over there,あそこにバス停があります。,There's a bus stop over there.,380-389 Pronoun
手伝う,てつだう,"help, assist",私が手伝いましょう。,Can I help you?,380-389 Verb
狭い,せまい,"narrow, restricted",私の部屋は狭いです。,My room is small.,380-389 Adjective
触る,さわる,"touch, feel",絵に触らないでください。,Please don't touch the painting.,380-389 Verb
嫌い,きらい,dislike,私はタバコが嫌いです。,I hate cigarettes.,380-389 Adjective
浴びる,あびる,take (a shower),私は朝、シャワーを浴びます。,I take a shower in the morning.,380-389 Verb
渇く,かわく,be thirsty,喉が渇きました。,I'm thirsty.,380-389 Verb
髪の毛,かみのけ,hair,髪の毛が伸びたね。,"Your hair's longer, isn't it?",380-389 Noun
肩,かた,shoulder,肩が凝りました。,My shoulders are stiff.,380-389 Noun
鼻,はな,nose,鼻がかゆいです。,My nose itches.,380-389 Noun
おいしい,おいしい,tasty,このケーキはおいしいね。,This cake is yummy.,390-399 Adjective
腕,うで,arm,彼の腕は太い。,He has big arms.,390-399 Noun
掛ける,かける,"hang, put on",夫の服をハンガーに掛けた。,I put my husband's clothes on a hanger.,390-399 Verb
僕,ぼく,I (young male),僕は学生です。,I'm a student.,390-399 Noun
駄目,だめ,no good,彼は駄目な男だ。,He's a loser.,390-399 Adjectival Noun
大丈夫,だいじょうぶ,"alright, OK",大丈夫ですか。,Are you OK?,390-399 Adjectival Noun
風邪,かぜ,cold (illness),私は風邪を引きました。,I caught a cold.,390-399 Noun
奇麗,きれい,beautiful,彼女はとても奇麗だ。,She's very beautiful.,390-399 Adjectival Noun
嬉しい,うれしい,"happy, glad",彼に会えて嬉しかった。,I was glad to meet him.,390-399 Adjective
なる,なる,become,柿の木に実がたくさんなっています。,A lot of fruit is ripening on the persimmon tree.,390-399 Verb
ため,ため,"sake, purpose",これは医者のためのサイトです。,This is a site for doctors.,400-409 Noun
より,より,"more, further",これから、より一層努力します。,I'll work that much harder from now.,400-409 Adverb
七,しち,seven,そのグループのメンバーは全部で七人だ。,There are seven members of the group in all.,400-409 Noun
九,く,nine,私は九月に行く予定です。,I plan to go in September.,400-409 Noun
億,おく,hundred million,世界人口は65億人だ。,The world's population is 6.5 billion people.,400-409 Noun
寺,てら,buddhist temple,あそこに古いお寺があります。,There's an old temple there.,400-409 Noun
ドル,ドル,dollar,この服は300ドルしました。,These clothes cost 300 dollars.,400-409 Noun
日,ひ,"sun, sunlight, day",夏は日が長い。,The days are long in summer.,400-409 Noun
火,ひ,fire,火を消して。,Put the fire out.,400-409 Noun
木,き,"tree, wood",台風で木が倒れた。,The tree fell because of the typhoon.,400-409 Noun
金,きん,"gold, sum of money, Friday",彼女は金のネックレスをしています。,She's wearing a gold necklace.,410-419 Noun
システム,システム,system,全てのシステムが停止した。,All systems have stopped.,410-419 Noun
十分,じゅうぶん,"full, plentiful",お金はまだ十分あります。,We still have plenty of money.,410-419 Adjectival Noun
分,ぶん,"amount, part, share",このケーキはあなたの分です。,This is your share of the cake.,410-419 Noun
分ける,わける,"divide into parts, sort, share",お菓子をみんなで分けました。,We shared the sweets with everyone.,410-419 Verb
分かれる,わかれる,"be divided, disperse, branch off",グループの中で意見が分かれました。,Opinion was divided within the group.,410-419 Verb
コンピューター,コンピューター,computer,新しいコンピューターを買った。,I bought a new computer.,410-419 Noun
何か,なにか,something,道に何か落ちています。,Something has fallen on the road.,410-419 Noun
何,なん,"what, which",質問は何ですか。,What's the question?,410-419 Noun
先ず,まず,first,帰ったら先ず手を洗いましょう。,"When you get home, wash your hands first.",410-419 Adverb
先月,せんげつ,last month,先月、友達の結婚式があった。,My friend's wedding was held last month.,420-429 Noun
やる,やる,give (to an inferior),犬にえさをやった。,I fed the dog.,420-429 Verb
先週,せんしゅう,last week,先週は海に行った。,I went to the beach last week.,420-429 Noun
今まで,いままで,"until now, so far",今までどこにいたのですか。,Where were you until now?,420-429 Adverb
来月,らいげつ,next month,来月から大学生になります。,I'll be a college student beginning next month.,420-429 Noun
来週,らいしゅう,next week,続きは来週やりましょう。,Let's continue next week.,420-429 Noun
ロボット,ロボット,robot,彼はロボットの研究をしています。,He is doing research on robots.,420-429 Noun
行う,おこなう,"do, carry out",その会社は来月、キャンペーンを行う。,That company is going to run a campaign next month.,420-429 Verb
行き,いき,going,行きは新幹線で行った。,I went by bullet train on the way over.,420-429 Noun
行き,ゆき,going,東京行きの列車に乗った。,I got on the Tokyo-bound train.,420-429 Noun
帰り,かえり,"return, going home",仕事の帰りにビールを飲んだ。,I had a beer on the way home from work.,430-439 Noun
ほとんど,ほとんど,"almost, hardly",お金がほとんどありません。,There's hardly any money.,430-439 Adverb
大きさ,おおきさ,"size, dimensions",この大きさの封筒が欲しいのですが。,I'd like an envelope of this size.,430-439 Noun
大分,だいぶ,"very, greatly",大分ピアノが上手くなりました。,You've gotten pretty good at the piano.,430-439 Adverb
中,なか,"inside, middle",財布は引き出しの中にあります。,My purse is in the drawer.,430-439 Noun
少年,しょうねん,boy,少年たちがサッカーをしている。,The boys are playing soccer.,430-439 Noun
パソコン,パソコン,personal computer,彼はパソコンを2台持っています。,He has two personal computers.,430-439 Noun
少しも,すこしも,at all,あなたは少しも悪くない。,It's not your fault at all.,430-439 Adverb
少々,しょうしょう,"a little, a few",塩を少々入れてください。,Please put in a little salt.,430-439 Adverb
多く,おおく,"many, much, largely",毎年多くの人が海外へ旅行する。,A lot of people travel abroad every year.,430-439 Adverb
上がる,あがる,"go up, rise",私たちは２階に上がった。,We went up to the second floor.,440-449 Verb
もう,もう,"another, again",コーヒーをもう一杯ください。,Please give me another cup of coffee.,440-449 Adverb
上がる,あがる,"get nervous, get stage fright",彼は人前だと上がってしまう。,He gets nervous in front of other people.,440-449 Verb
年上,としうえ,"older, senior",彼は私より年上です。,He's older than me.,440-449 Noun
上り,のぼり,"going up, ascent",これは上り電車です。,This is the train going downtown.,440-449 Noun
下げる,さげる,"lower, turn down",少し音量を下げてください。,Please turn the volume down a little.,440-449 Verb
プログラム,プログラム,program,受付でプログラムを受け取った。,I got my program at the reception.,440-449 Noun
下がる,さがる,"come down, hang down, fall",やっと熱が下がった。,His fever finally went down.,440-449 Verb
下りる,おりる,"go down, come down",そこの階段を下りてください。,Please go down those stairs.,440-449 Verb
下ろす,おろす,"bring down, take down, pull down",棚からその箱を下ろしてください。,Please take the box down from the shelf.,440-449 Verb
下り,くだり,"downhill, going down",もうすぐ下りの電車が発車します。,The train out of the city leaves soon.,450-459 Noun
よく,よく,well,よく答えが分かりましたね。,You did well in coming up with the answer.,450-459 Adverb
年下,としした,"younger, junior",彼は奥さんより年下です。,He's younger than his wife.,450-459 Noun
下る,くだる,"go down, go down or away from a central place",小さな船が川を下っています。,A small ship is going down the river.,450-459 Verb
一方,いっぽう,one way,ここは一方通行です。,This is a one-way street.,450-459 Noun
方,かた,person　（polite form),次の方、どうぞ。,Next please.,450-459 Noun
まま,まま,"as is, still (in the current state)",電気がついたままですよ。,The light is still on.,450-459 Noun
二人,ふたり,two persons,今日は妻と二人で食事をします。,"Today I'm having dinner with my wife, just the two of us.",450-459 Noun
大人しい,おとなしい,"gentle, quiet, subdued",私の彼女はとても大人しいです。,My girlfriend's very quiet.,450-459 Adjective
人々,ひとびと,people,あの村の人々はとても親切です。,People in that village are very kind.,450-459 Noun
一人で,ひとりで,by oneself,今日は一人で映画を見ます。,I saw a movie by myself today.,460-469 Adverb
テレビ,テレビ,television,私はテレビをあまり見ません。,I don't watch much TV.,460-469 Noun
外人,がいじん,"foreigner, alien",この町には外人が少ない。,There are few foreigners in this town.,460-469 Noun
外,そと,"outside, open air",外は暑いよ。,It's hot outside.,460-469 Noun
休日,きゅうじつ,"holiday, day off",休日は家でよくテレビを見ます。,I often watch television at home on my days off.,460-469 Noun
休み,やすみ,"rest, holiday, absence",木曜日は仕事が休みです。,Thursday is my day off work.,460-469 Noun
ソフト,ソフト,"software, programme",このソフトで日本語を勉強することができます。,You can study Japanese with this software.,460-469 Noun
力,ちから,"strength, power",お相撲さんは、みんな力持ちだ。,All sumo wrestlers are strong.,460-469 Noun
協力,きょうりょく,"cooperation, collaboration",このプロジェクトにはみんなの協力が必要です。,This project requires everyone's cooperation.,460-469 Verbal Noun
人口,じんこう,population,その国の人口はどのくらいですか。,What's the population of that country?,460-469 Noun
出口,でぐち,"exit, exit ramp",出口はあそこです。,The exit's over there.,470-479 Noun
ただ,ただ,free,この温泉はただです。,This hot spring is free.,470-479 Noun
入り口,いりぐち,entrance,入り口は向こうです。,The entrance is over there.,470-479 Noun
右手,みぎて,right hand,私は右手で字を書きます。,I write right-handed.,470-479 Noun
左手,ひだりて,left hand,彼女は左手で字を書く。,She writes left-handed.,470-479 Noun
下手,へた,not good at,私は歌が下手だ。,I'm a terrible singer.,470-479 Adjectival Noun
これら,これら,these,今日はこれらの問題について話し合います。,We will discuss these issues today.,470-479 Noun
足りる,たりる,"suffice, serve, be satisfied",お金が足りなくて買えなかった。,I couldn't buy it because I didn't have enough money.,470-479 Verb
足す,たす,"add, supplement",母は味噌汁に水を足した。,My mother added water to the miso soup.,470-479 Verb
山,やま,mountain,山の空気はきれいだ。,The mountain air is clean.,470-479 Noun
川,かわ,"river, stream",小さな川を渡りました。,I crossed a stream.,480-489 Noun
いずれ,いずれ,"eventually, sometime",いずれまたお会いしましょう。,Let's meet again sometime.,480-489 Adverb
空く,あく,become available or vacant,後ろの席が空いています。,The rear seat is empty.,480-489 Verb
空手,からて,"karate, empty hand",彼は空手を習っています。,He's learning karate.,480-489 Noun
空,そら,"sky, weather",空が真っ青です。,The sky is bright blue.,480-489 Noun
海外,かいがい,"overseas, abroad",彼は海外での生活が長いです。,He's lived abroad for a long time.,480-489 Noun
あまり,あまり,(not) much,このビールはあまり美味しくありません。,This beer isn't very good.,480-489 Adverb
海,うみ,"sea, ocean",海は広くて大きい。,The sea is vast and wide.,480-489 Noun
毎日,まいにち,every day,私たちは毎日散歩をします。,We go for a walk every day.,480-489 Noun
毎年,まいとし,every year,私は毎年、海外旅行に行きます。,I travel abroad every year.,480-489 Noun
毎年,まいねん,every year  (also まいとし),毎年給料が上がる。,My salary goes up every year.,490-499 Noun
なお,なお,"still, in addition",なお、雨の場合は中止です。,"Moreover, it will be canceled in the event of rain.",490-499 Adverb
毎週,まいしゅう,every week,私は毎週母に電話をします。,I call my mother every week.,490-499 Noun
毎月,まいつき,every month,私は毎月貯金をしています。,I save money every month.,490-499 Noun
石,いし,"stone, small rock",私は石につまづいた。,I tripped on a stone.,490-499 Noun
田んぼ,たんぼ,rice field,この辺は田んぼがたくさんあります。,There are a lot of rice fields around here.,490-499 Noun
ほぼ,ほぼ,"almost, nearly",仕事がほぼ終わりました。,My work is almost finished.,490-499 Adverb
花,はな,flower,きれいな花が咲きました。,Beautiful flowers have bloomed.,490-499 Noun
林,はやし,"woods, grove",私たちは林の中に入っていった。,We entered the woods.,490-499 Noun
森,もり,"thick woods, forest",私は森を歩くのが好きです。,I like to walk in the forest.,490-499 Noun
子,こ,"child, kid",その子は日本語が分からない。,That kid doesn't understand Japanese.,500-509 Noun
サービス,サービス,"service, on the house",この店はサービスがいい。,The service in this store is good.,500-509 Verbal Noun
女の子,おんなのこ,"girl, daughter",あの女の子を知っていますか。,Do you know that girl?,500-509 Noun
男の子,おとこのこ,"boy, baby boy",男の子たちがサッカーをしている。,The boys are playing soccer.,500-509 Noun
私たち,わたしたち,we,私たちは来月結婚します。,We will get married next month.,500-509 Noun
達する,たっする,"attain, reach",気温は35度に達した。,The temperature reached 35 degrees.,500-509 Verb
グループ,グループ,group,店に学生のグループが来た。,A group of students came to the shop.,500-509 Noun
家,いえ,"house, home",ここが私の家です。,This is my house.,500-509 Noun
家内,かない,my wife,家内は九州出身です。,My wife is from Kyushu.,500-509 Noun
客,きゃく,"visitor, customer",その店は若い客が多いです。,That shop has a lot of young customers.,500-509 Noun
空気,くうき,"air, atmosphere",ここは空気がきれいです。,The air here is clean.,510-519 Noun
ホテル,ホテル,hotel,今ホテルに着きました。,I arrived at the hotel just now.,510-519 Noun
気に入る,きにいる,"like, be pleased with",新しい靴がとても気に入りました。,I really like my new shoes.,510-519 Verb
人気,にんき,"popularity, popular feeling, business conditions",このバンドはとても人気があるよ。,That band is very popular.,510-519 Noun
雨,あめ,rain,雨が降っています。,It's raining.,510-519 Noun
雪,ゆき,"snow, snowfall",クリスマスに雪が降りました。,It snowed at Christmas.,510-519 Noun
まとめる,まとめる,"gather together, put in order",彼女は荷物をまとめて出て行った。,She packed her luggage and left.,510-519 Verb
青い,あおい,blue,ここの海はとても青い。,The sea here is very blue.,510-519 Adjective
青,あお,"blue, green, green light",私の好きな色は青です。,My favorite color is blue.,510-519 Noun
晴れ,はれ,"fine weather, clear sky",明日の天気は晴れです。,Tomorrow's weather will be sunny.,510-519 Noun
明らか,あきらか,"clear, obvious",明らかに彼が悪い。,It's clearly his fault.,520-529 Adjective
やはり,やはり,"as expected, also, still",彼はやはり遅刻しました。,"He was late, as expected.",520-529 Adverb
明るい,あかるい,"bright, cheerful",彼女は明るい性格です。,She has a cheerful personality.,520-529 Adjective
明日,あした,tomorrow,明日、会社を休みます。,I'm off work tomorrow.,520-529 Noun
暗い,くらい,"dark, dreary, shadowy",東の空が暗いです。,The eastern sky is dark.,520-529 Adjective
昨年,さくねん,last year,昨年は地震が多い年でした。,Last year there were a lot of earthquakes.,520-529 Noun
はっきり,はっきり,clearly,今日は山がはっきり見える。,You can see the mountains clearly today.,520-529 Adverb
一昨年,おととし,the year before last,一昨年初めて京都へ旅行しました。,I first traveled to Kyoto the year before last.,520-529 Noun
一昨日,おととい,day before yesterday,一昨日彼から電話がありました。,There was a phone call from him the day before yesterday.,520-529 Noun
東,ひがし,"east, eastern",東の空が暗いです。,The eastern sky is dark.,520-529 Noun
西,にし,"west, western",太陽は西に沈みます。,The sun sets in the west.,530-539 Noun
つまり,つまり,"in short, basically",つまり、あなたは何も知らないのですね。,"So, basically, you don't know anything.",530-539 Adverb
南,みなみ,south,私の家は町の南にあります。,My house is in the south of the town.,530-539 Noun
北,きた,north,ロシアは日本の北にあります。,Russia is north of Japan.,530-539 Noun
方向,ほうこう,"direction, course",あの人たちは皆、同じ方向を見ている。,Those people are all looking in the same direction.,530-539 Noun
向かう,むかう,"face, confront, head toward",今、会社に向かっています。,I'm heading for the office right now.,530-539 Verb
ビル,ビル,building,私の会社はあのビルの8階です。,My company's on the eighth floor of that building.,530-539 Noun
向こう,むこう,"the other side, the other party, opponent",友達は向こうにいます。,My friend is over there.,530-539 Noun
向く,むく,"turn, face, look",こっちを向いてください。,Please turn this way.,530-539 Verb
開く,あく,open,電車のドアが開きました。,The train door opened.,530-539 Verb
聞こえる,きこえる,"hear, be heard",隣の部屋からテレビの音が聞こえる。,I can hear the sound of the television from the next room.,540-549 Verb
もちろん,もちろん,"of course, no doubt",もちろん一緒に行きます。,Of course I'll go with you.,540-549 Adverb
年間,ねんかん,period of one year,年間5万人がここを訪れます。,"This place gets 50,000 visitors a year.",540-549 Noun
この間,このあいだ,"the other day, recently",この間彼女に会った。,I met her the other day.,540-549 Noun
間,あいだ,interval,雲の間から月が出た。,The moon came out from between the clouds.,540-549 Noun
人間,にんげん,"human being, people",人間の心は複雑です。,Man's mind is complex.,540-549 Noun
かつて,かつて,"once, formerly",かつて私が学生だった頃のことです。,That was when I was still a student.,540-549 Adverb
高さ,たかさ,height,"富士山の高さは3,776メートルです。","The height of Mt. Fuji is 3,776m.",540-549 Noun
最大,さいだい,"biggest, largest",これは世界最大の船です。,This is the world's largest ship.,540-549 Noun
初めて,はじめて,for the first time,東京に来るのは初めてです。,It's the first time I've been to Tokyo.,540-549 Adverb
最初,さいしょ,"first, outset",5ページの最初を見てください。,Please look at the beginning of page 5.,550-559 Noun
スポーツ,スポーツ,sport,あなたは何かスポーツをしていますか。,Which sport do you play?,550-559 Noun
初め,はじめ,beginning,初めは上手くできませんでした。,I couldn't do it well at first.,550-559 Noun
今後,こんご,"after this, in the future",今後ともよろしくお願いします。,I look forward to working with you in the future.,550-559 Noun
後,のち,"after, afterwards",後に彼は総理大臣になりました。,He would later become Prime Minister.,550-559 Noun
最後,さいご,"last, final",今日が夏休み最後の日だ。,Today's the last day of summer vacation.,550-559 Noun
なぜ,なぜ,"why, for what reason",なぜ来なかったの。,Why didn't you come?,550-559 Adverb
明後日,あさって,day after tomorrow,明後日は休日です。,The day after tomorrow's a holiday.,550-559 Noun
牛,うし,"cattle, cow",牛が草を食べています。,The cow is eating grass.,550-559 Noun
半分,はんぶん,half,お菓子を友達に半分あげた。,I gave half the sweets to a friend.,550-559 Noun
半年,はんとし,half a year,日本に来て半年になります。,It has been half a year since I came to Japan.,560-569 Noun
そのまま,そのまま,"like that, unchanged",そのままお待ちください。,Please just wait a bit.,560-569 Adverb
半月,はんつき,half a month,半月前に日本に来ました。,I came to Japan half a month ago.,560-569 Noun
半日,はんにち,half a day,今日は半日だけ仕事だ。,I'm working only a half-day today.,560-569 Noun
毎朝,まいあさ,every morning,私は毎朝ジョギングをします。,I jog every morning.,560-569 Noun
今朝,けさ,this morning,今朝から頭が痛い。,I've had a headache since this morning.,560-569 Noun
もし,もし,"if, in case of",もし雨が降ったら、行きません。,I won't go if it rains.,560-569 Adverb
昼休み,ひるやすみ,"noon recess, lunch break",昼休みに公園に行った。,I went to the park at lunchtime.,560-569 Noun
昼前,ひるまえ,"in the morning, before noon",昼前に会議があった。,There was a meeting in the morning.,560-569 Noun
昼間,ひるま,"daytime, day",昼間は仕事で忙しいです。,I'm busy with work in the daytime.,560-569 Noun
毎晩,まいばん,every evening,姉は毎晩日記を書いています。,My older sister writes in her diary every evening.,570-579 Noun
つもり,つもり,"intention, purpose",明日からタバコを止めるつもりです。,I'll stop smoking as of tomorrow.,570-579 Noun
今夜,こんや,"tonight, this evening",今夜は月がとてもきれいです。,The moon is very beautiful tonight.,570-579 Noun
昨夜,ゆうべ,"last night, last evening",昨夜、流れ星を見ました。,I saw some shooting stars last night.,570-579 Noun
夜中,よなか,"midnight, dead of night",夜中に電話がありました。,I got a telephone call in the middle of the night.,570-579 Noun
夕方,ゆうがた,evening,夕方そちらに着きます。,I'll arrive there in the evening.,570-579 Noun
やっと,やっと,"at last, finally",やっと仕事が終わりました。,"Finally, I finished my work.",570-579 Adverb
昼食,ちゅうしょく,lunch,昼食に寿司を食べました。,I ate sushi for lunch.,570-579 Noun
朝食,ちょうしょく,breakfast,朝食に納豆を食べました。,I ate natto for breakfast.,570-579 Noun
夕食,ゆうしょく,supper,夕食は7時です。,Dinner's at seven o'clock.,570-579 Noun
夕飯,ゆうはん,"evening meal, supper",夕飯は寿司でした。,Dinner was sushi.,580-589 Noun
ニュース,ニュース,news,夜のニュースを見ましたか。,Did you see the evening news?,580-589 Noun
見方,みかた,"view, way of looking",彼に対する見方が変わりました。,My view of him has changed.,580-589 Noun
花見,はなみ,flower viewing,友達と花見をしました。,I went cherry blossom-viewing with a friend.,580-589 Noun
言い方,いいかた,"way of speaking, expression",そんな言い方をしてはいけません。,You mustn't talk like that.,580-589 Noun
話,はなし,"talk, story",あなたの話は面白いね。,Your story's interesting.,580-589 Noun
ずっと,ずっと,"all day, from start to finish",父は休みの日はずっとテレビを見ている。,My father spends his days off watching television all the time.,580-589 Adverb
読み,よみ,"reading, judgment, foresight",母に読み書きを習いました。,I learned reading and writing from my mother.,580-589 Noun
読み方,よみかた,"way of reading, reading",この漢字の読み方を教えてください。,Please tell me how to read this Chinese character.,580-589 Noun
語る,かたる,to talk about; to tell,今夜は大いに語りましょう。,Let's talk about everything tonight.,580-589 Verb
言語,げんご,language,彼はアジアの言語を研究している。,He's doing research in Asian languages.,590-599 Noun
ビデオ,ビデオ,video,私はその番組をビデオに撮った。,I recorded that program on video.,590-599 Noun
英語,えいご,English,あなたは英語が話せますか。,Can you speak English?,590-599 Noun
文字,もじ,"character, letter",壁に文字が書いてあった。,There was some writing on the wall.,590-599 Noun
ローマ字,ろーまじ,Roman alphabet,ローマ字で名前を書いてください。,Please write your name using Roman letters.,590-599 Noun
字,じ,"character, letter",もっと大きく字を書いてください。,Please write the letters larger.,590-599 Noun
マンション,マンション,"apartment, apartment block, condominium",彼はマンションに住んでいます。,He lives in an apartment.,590-599 Noun
書き方,かきかた,"how to write, way of writing",彼はその漢字の書き方が分からない。,He doesn't know how to write that Chinese character.,590-599 Noun
覚める,さめる,"awake, wake up",今朝は6時に目が覚めた。,I woke up at six o'clock this morning.,590-599 Verb
覚ます,さます,"awaken, wake up",子供が目を覚ました。,The child woke up.,590-599 Verb
大会,たいかい,"mass meeting, tournament",夏には川辺で花火大会があります。,There are fireworks by the river in summer.,600-609 Noun
しばらく,しばらく,a while,そこでしばらく休んでいます。,He's resting over there for a while.,600-609 Adverb
会話,かいわ,conversation,親子の会話は大切です。,Conversation between parents and children is important.,600-609 Verbal Noun
話し合う,はなしあう,"discuss, talk over",私たちはよく話し合いました。,We often talked to each other.,600-609 Verb
合う,あう,fit,この靴は私の足に合っている。,These shoes fit me.,600-609 Verb
間に合う,まにあう,"be in time, serve the purpose",授業に間に合いました。,I made it in time for class.,600-609 Verb
ガス,ガス,gas,地震でガスが止まった。,The gas got cut off due to the earthquake.,600-609 Noun
会社,かいしゃ,"company, corporation",彼は小さな会社に勤めています。,He's working for a small business firm.,600-609 Noun
社会,しゃかい,society,これは大きな社会問題になっている。,This is a major social issue.,600-609 Noun
社員,しゃいん,"staff member, employee",彼は優秀な社員です。,He's an excellent employee.,600-609 Noun
仕方,しかた,"way, method",ファイルのダウンロードの仕方が分かりません。,I don't know how to download the file.,610-619 Noun
うまい,うまい,good at,彼は野球がうまい。,He's good at baseball.,610-619 Adjective
食事,しょくじ,"meal, dinner",今日は上司と食事をする。,I'm eating with the boss today.,610-619 Verbal Noun
火事,かじ,fire,火事です。119番に電話してください。,There's a fire. Please call 119.,610-619 Noun
大事,だいじ,importance,お体をお大事に。,Take care of yourself.,610-619 Adjectival Noun
事故,じこ,"accident, incident",彼は事故で怪我をしました。,He was injured in the accident.,610-619 Noun
サラリーマン,サラリーマン,"office worker, salaried worker, company employee",父はサラリーマンです。,My father's a company employee.,610-619 Noun
工事,こうじ,construction,工事の音がうるさい。,The construction site is noisy.,610-619 Verbal Noun
工場,こうじょう,"factory, plant",彼は食品工場で働いています。,He's working at the food factory.,610-619 Noun
電話,でんわ,"telephone, phone call",あとで電話します。,I will call you later.,610-619 Verbal Noun
電気,でんき,"electricity, electric light",電気をつけてください。,Please turn on the light.,620-629 Noun
バス,バス,bus,バスで行こう。,Let's go by bus.,620-629 Noun
車,くるま,car,この道は車が多い。,There are many cars on this road.,620-629 Noun
駅員,えきいん,station employee,駅員に聞きましょう。,Let's ask the station employee.,620-629 Noun
通り,とおり,"passage, street",この通りはにぎやかですね。,"This street is lively, isn't it?",620-629 Noun
通る,とおる,"pass, take, go through",毎日、この道を通ります。,I take this road every day.,620-629 Verb
クラス,クラス,class,この学校は1クラス30人です。,In this school there are 30 people per class.,620-629 Noun
通う,かよう,"go to and from, frequent a place",私はジムに通っています。,I go to a gym.,620-629 Verb
交通事故,こうつうじこ,traffic accident,彼は交通事故を起こした。,He caused a traffic accident.,620-629 Noun
水道,すいどう,water supply,東京は水道の水が不味い。,Tap water in Tokyo doesn't taste good.,620-629 Noun
車道,しゃどう,"road, roadway",車道の工事が始まりました。,The construction of the roadway started.,630-639 Noun
トラック,トラック,"truck, lorry",トラックを運転できますか。,Can you drive a truck?,630-639 Noun
道路,どうろ,"road, street",この道路は3年前にできました。,This road was completed three years ago.,630-639 Noun
土地,とち,land,ここは父の土地です。,This is my father's land.,630-639 Noun
地図,ちず,"map, atlas",地図を見て来てください。,Please look at the map to get here.,630-639 Noun
他,た,"others, other things",留学生はアジア人が多く、その他は3割です。,"The majority of foreign students are Asian, with 30 percent from other regions.",630-639 Noun
パーティー,パーティー,party,明日、うちでパーティーを開きます。,Tomorrow I'm having a party at my house.,630-639 Verbal Noun
止める,とめる,"stop, turn off",車を止めて。,Stop the car.,630-639 Verb
止まる,とまる,"come to a stop, cease",今朝、事故で電車が止まりました。,The train stopped this morning due to an accident.,630-639 Verb
止む,やむ,"stop, abate",雨が止みました。,The rain stopped.,630-639 Verb
歩道,ほどう,"sidewalk, footpath",歩道を歩きましょう。,Let's walk on the pavement.,640-649 Noun
うまい,うまい,"delicious, tasty",うまい寿司屋を見つけたよ。,I found a good sushi shop.,640-649 Adjective
渡す,わたす,"carry across, hand over",彼に手紙を渡しました。,I handed him the letter.,640-649 Verb
渡る,わたる,"cross, go across",私たちは歩いて橋を渡った。,We walked over the bridge.,640-649 Verb
