Kanji,Reading,Definition,Sentence,Translation,tags
子供,こども,"child, kid",電車で子供が騒いでいた。,Kids were making a racket in the train.,100-109 Noun
あげる,あげる,give,この本、あなたにあげます。,I'll give you this book.,110-119 Verb
好き,すき,"favorite, liked",私はワインが好きです。,I like wine.,110-119 Adjectival Noun
大好き,だいすき,love,私は犬が大好きだ。,I love dogs.,110-119 Adjective
私,わたし,I,私が行きましょう。,Why don't I go.,110-119 Noun
友達,ともだち,"friend, companion",私には友達がたくさんいます。,I have a lot of friends.,110-119 Noun
家,うち,"house, home",家に遊びに来てください。,Please come over to my house.,110-119 Noun
気,き,"spirit, temperament",彼は意外に気が小さい。,He's unexpectedly timid.,110-119 Noun
元気,げんき,"healthy, energetic",おかげさまで元気です。,"I'm fine, thank you.",110-119 Adjective
天気,てんき,weather,今日はいい天気ですね。,It's nice out today.,110-119 Noun
晴れる,はれる,"be sunny, clear up",明日は晴れるといいですね。,I hope it'll be sunny tomorrow.,110-119 Verb
こう,こう,"like this, this kind of",こう小さい字は読めない。,I can't read such small letters.,120-129 Adverb
昨日,きのう,yesterday,昨日、友達に会った。,I met a friend yesterday.,120-129 Noun
開ける,あける,"open, unlock",窓を開けてください。,Please open the window.,120-129 Verb
開く,ひらく,open,32ページを開いてください。,Please open to page 32.,120-129 Verb
閉じる,とじる,close,教科書を閉じてください。,Please close your textbooks.,120-129 Verb
閉める,しめる,"shut, close",ちゃんとドアを閉めてよ。,Close the door properly.,120-129 Verb
閉まる,しまる,"be shut, be closed",お店はもう閉まっていました。,The shop had already closed.,120-129 Verb
聞く,きく,"hear, ask",彼女はラジオを聞いています。,She's listening to the radio.,120-129 Verb
時間,じかん,"time, hour",今は時間がありません。,I don't have time now.,120-129 Noun
高い,たかい,"high, tall",これがこの町で一番高いビルです。,This is the tallest building in town.,120-129 Adjective
くれる,くれる,be given,友達が誕生日プレゼントをくれた。,My friend gave me a birthday present.,130-139 Verb
安い,やすい,"inexpensive, cheap",この服はとても安かった。,These clothes were very cheap.,130-139 Adjective
低い,ひくい,"low, short",彼は背が低い。,He's short.,130-139 Adjective
前,まえ,"front, before",その店の前で会いましょう。,Let's meet in front of the shop.,130-139 Noun
後,あと,after,仕事の後、映画を見た。,I saw a movie after work.,130-139 Adverb
後ろ,うしろ,"back, behind",後ろを向いて。,Turn around.,130-139 Noun
午後,ごご,"afternoon, p.m.",明日の午後、お客様が来る。,A guest is coming to visit tomorrow afternoon.,130-139 Noun
午前,ごぜん,"morning, a.m.",午前9時のニュースです。,And now for the 9.00 a.m. news.,130-139 Noun
朝,あさ,morning,気持ちのいい朝です。,It's a pleasant morning.,130-139 Noun
昼,ひる,"daytime, midday",私は昼のドラマを毎日見ます。,I watch daytime dramas every day.,130-139 Noun
かなり,かなり,"fairly, rather",彼はかなり英語が上手です。,He's pretty good at English.,140-149 Adverb
晩,ばん,evening (usually from sunset to bedtime),晩ご飯は食べましたか。,Have you had dinner?,140-149 Noun
今晩,こんばん,"this evening, tonight",今晩のパーティーは何時からですか。,From what time is the party tonight?,140-149 Noun
夜,よる,night (from sunset to sunrise),きのうの夜は家にいました。,I was at home last night.,140-149 Noun
食べる,たべる,eat,昨日タイカレーを食べました。,I had Thai curry yesterday.,140-149 Verb
飲む,のむ,drink,友達とお酒を飲んでいます。,I'm drinking sake with a friend.,140-149 Verb
ご飯,ごはん,"cooked rice, meal",私はパンよりご飯が好きだ。,I prefer rice to bread.,140-149 Noun
買う,かう,buy,郵便局で切手を買いました。,I bought a stamp at the post office.,140-149 Verb
見る,みる,"see, look at",私は絵を見るのが好きです。,I like looking at pictures.,140-149 Verb
見せる,みせる,show,その写真を見せてください。,Please show me those pictures.,140-149 Verb
もっと,もっと,more,もっと近くに来てください。,Please come closer.,150-159 Adverb
見つける,みつける,find,新しい仕事を見つけました。,I found a new job.,150-159 Verb
見える,みえる,be visible,ここから富士山がよく見えます。,You can see Mount Fuji well from here.,150-159 Verb
見つかる,みつかる,"be found, be caught",メガネが見つかりません。,I can't find my glasses.,150-159 Verb
言う,いう,"say, tell",上司が「一杯、飲もう。」と言った。,"My boss said: ""Let's have a drink.""",150-159 Verb
話す,はなす,"speak, tell",母と電話で話しました。,I spoke to my mother on the phone.,150-159 Verb
読む,よむ,read,彼女は雑誌を読んでいます。,She's reading the magazine.,150-159 Verb
漢字,かんじ,"character, kanji",漢字は中国から来ました。,Kanji came from China.,150-159 Noun
書く,かく,write,彼に手紙を書きました。,I wrote him a letter.,150-159 Verb
覚える,おぼえる,"memorize, learn",妹は平仮名を全部覚えました。,My little sister learned all the hiragana.,150-159 Verb
そこ,そこ,there,そこに座ってください。,Please sit there.,160-169 Pronoun
